Body,muscle,exercise,equipment,resource
calves,TibialisAnterior,Dumbbell Reverse Calf Raise,Dumbbell,https://exrx.net/WeightExercises/TibialisAnterior/DBReverseCalfRaise
calves,TibialisAnterior,Dumbbell Single Leg Reverse Calf Raise,Dumbbell,https://exrx.net/WeightExercises/TibialisAnterior/DBSingleLegRevCalfRaise
calves,TibialisAnterior,Lever 45�X Reverse Calf Press (plate loaded),Lever,https://exrx.net/WeightExercises/TibialisAnterior/LV45ReverseCalfPress
calves,TibialisAnterior,Lever 45�X Reverse Calf Raise (plate loaded),Lever,https://exrx.net/WeightExercises/TibialisAnterior/LV45ReverseCalfRaise
calves,TibialisAnterior,Lever Reverse Calf Raise (plate loaded),Lever,https://exrx.net/WeightExercises/TibialisAnterior/LVReverseCalfRaisePL
calves,TibialisAnterior,"Lever Reverse Calf Raise (on v-squat machine, plate loaded)",Lever,https://exrx.net/WeightExercises/TibialisAnterior/LVReverseVCalfRaiseH
calves,TibialisAnterior,Lever Reverse Calf Extension (plate loaded),Lever,https://exrx.net/WeightExercises/TibialisAnterior/LVSeatedReverseCalfExtHammer
calves,TibialisAnterior,Lever Seated Tibia Raise (plate loaded),Lever,https://exrx.net/WeightExercises/TibialisAnterior/LVSeatedTibiaRaisePL
calves,TibialisAnterior,Lever Single Leg Seated Tibia Raise (plate loaded),Lever,https://exrx.net/WeightExercises/TibialisAnterior/LVSingleLegSeatedSeatedTibiaRaisePL
calves,TibialisAnterior,Lever Standing Tibia Raise (plate loaded),Lever,https://exrx.net/WeightExercises/TibialisAnterior/LVStandingTibiaRaisePL
calves,TibialisAnterior,Lever Donkey Reverse Calf Raise,Lever,https://exrx.net/WeightExercises/TibialisAnterior/LVDonkeyReverseCalfRaise
calves,TibialisAnterior,Lever Reverse Calf Extension,Lever,https://exrx.net/WeightExercises/TibialisAnterior/LVReverseCalfExtension
calves,TibialisAnterior,Lever Reverse Calf Raise,Lever,https://exrx.net/WeightExercises/TibialisAnterior/LVReverseCalfRaise
calves,TibialisAnterior,Lever Seated Reverse Calf Press,Lever,https://exrx.net/WeightExercises/TibialisAnterior/LVSeatedReverseCalfPress
calves,TibialisAnterior,Sled 45�X Reverse Calf Press,Sled,https://exrx.net/WeightExercises/TibialisAnterior/SL45ReverseCalfPress
calves,TibialisAnterior,Sled 45�X Reverse Calf Raise,Sled,https://exrx.net/WeightExercises/TibialisAnterior/SL45ReverseCalfRaise
calves,TibialisAnterior,Sled 45�X Reverse Calf Raise (plate loaded),Sled,https://exrx.net/WeightExercises/TibialisAnterior/SL45ReverseCalfRaisePL
calves,TibialisAnterior,Sled 45�X Reverse Calf Raise (on hack press),Sled,https://exrx.net/WeightExercises/TibialisAnterior/SL45ReverseCalfRaiseHackPress
calves,TibialisAnterior,Sled Reverse Donkey Calf Raise (plate loaded),Sled,https://exrx.net/WeightExercises/TibialisAnterior/SLDonkeyReverseCalfRaise
calves,TibialisAnterior,Sled Hack Reverse Calf Raise,Sled,https://exrx.net/WeightExercises/TibialisAnterior/SLHackReverseCalfRaise
calves,TibialisAnterior,Sled Lying Reverse Calf Press,Sled,https://exrx.net/WeightExercises/TibialisAnterior/SLLyingReverseCalfPress
calves,TibialisAnterior,Sled Lying Reverse Calf Press (plate loaded),Sled,https://exrx.net/WeightExercises/TibialisAnterior/SLLyingReverseCalfPressPL
calves,TibialisAnterior,Sled Standing Reverse Calf Raise,Sled,https://exrx.net/WeightExercises/TibialisAnterior/SLReverseCalfRaise
calves,TibialisAnterior,Sled Reverse Calf Raise (plate loaded),Sled,https://exrx.net/WeightExercises/TibialisAnterior/SLReverseCalfRaisePL
calves,TibialisAnterior,Sled Seated Reverse Calf Press,Sled,https://exrx.net/WeightExercises/TibialisAnterior/SLSeatedReverseCalfPress
calves,TibialisAnterior,Smith Reverse Calf Raise,Smith,https://exrx.net/WeightExercises/TibialisAnterior/SMReverseCalfRaise
calves,TibialisAnterior,Reverse Calf Raise,BodyWeight,https://exrx.net/WeightExercises/TibialisAnterior/BWReverseCalfRaise
calves,TibialisAnterior,Single Leg Reverse Calf Raise,BodyWeight,https://exrx.net/WeightExercises/TibialisAnterior/BWSingleLegRevCalfRaise
